[2008-04-30 12:41:10]	SOCKET 连接创建失败
[2008-04-30 12:41:10]	SOCKET 连接创建失败
[2008-04-30 12:41:10]	SOCKET 连接创建失败
[2008-04-30 12:41:10]	SOCKET 连接创建失败
[2008-04-30 12:41:11]	SOCKET 连接创建失败
[2008-04-30 12:41:11]	SOCKET 连接创建失败
[2008-04-30 12:41:12]	SOCKET 连接创建失败
[2008-04-30 12:41:12]	SOCKET 连接创建失败
[2008-04-30 12:41:12]	SOCKET 连接创建失败
[2008-04-30 12:41:12]	SOCKET 连接创建失败
[2008-04-30 12:41:12]	SOCKET 连接创建失败
[2008-04-30 12:41:13]	SOCKET 连接创建失败
[2008-04-30 12:41:13]	SOCKET 连接创建失败
[2008-04-30 12:41:13]	SOCKET 连接创建失败
[2008-04-30 12:41:13]	SOCKET 连接创建失败
[2008-04-30 12:41:14]	SOCKET 连接创建失败
[2008-04-30 12:41:14]	SOCKET 连接创建失败
[2008-04-30 12:41:14]	SOCKET 连接创建失败
[2008-04-30 12:41:14]	SOCKET 连接创建失败
[2008-04-30 12:41:14]	SOCKET 连接创建失败
[2008-04-30 12:41:15]	SOCKET 连接创建失败
[2008-04-30 12:41:15]	SOCKET 连接创建失败
[2008-04-30 12:41:16]	SOCKET 连接创建失败
[2008-04-30 12:41:16]	SOCKET 连接创建失败
[2008-04-30 12:41:16]	SOCKET 连接创建失败
[2008-04-30 12:41:17]	SOCKET 连接创建失败
